"nest","treatment","sex","brood.size","size","condition","cort","telomere.length","fledging"
"A","disturbed","M",4,-3.55,-1.486,"7.38",0.829,"no"
"A","disturbed","F",4,-1.721,0.52,"0.95",1.155,"no"
"A","disturbed","F",4,-1.158,0.568,"1.72",0.986,"no"
"B","disturbed","F",5,-1.263,1.246,"0.85",1.121,"no"
"C","control","F",4,-0.281,0.985,"4.3099999999999996",1.102,"yes"
"C","control","F",4,-0.642,-1.304,"5.93",1.202,"yes"
"D","disturbed","M",4,0.561,-1.979,"3.86",1.072,"yes"
"D","disturbed","M",4,1.239,-2.227,"4.76",1.128,"yes"
"D","disturbed","M",4,1.838,-0.631,"6.92",1.237,"yes"
"E","control","F",5,-1.567,1.63,"NA",1.549,"no"
"E","control","F",5,-2.043,0.145,"NA",1.485,"no"
"E","control","F",5,-2.553,0.648,"8.61",1.067,"no"
"E","control","M",5,-2.895,0.686,"10.45",1.135,"no"
"F","control","F",2,1.853,2.456,"1.84",1.116,"yes"
"F","control","F",2,2.019,1.135,"4.8600000000000003",1.081,"yes"
"G","disturbed","F",5,0.513,-0.558,"12.52",1.054,"no"
"G","disturbed","M",5,1.047,0.638,"7.26",1.002,"no"
"G","disturbed","M",5,2.245,3.211,"0.95",0.96,"no"
"G","disturbed","M",5,1.162,-0.557,"5.39",0.843,"no"
"H","control","M",5,-1.677,-0.254,"8.89",1.339,"no"
"H","control","F",5,-2.043,-0.835,"4.57",1.187,"no"
"H","control","M",5,1.329,-0.138,"1.1599999999999999",1.454,"no"
"H","control","F",5,-1.126,-1.087,"3.32",1.09,"no"
"I","control","F",5,-2.019,2.424,"6.32",0.948,"yes"
"J","disturbed","F",5,-1.009,1.115,"5.39",0.866,"no"
"K","disturbed","M",5,-0.623,-0.537,"1.36",1.087,"no"
"L","control","M",6,1.29,0.328,"1.56",0.961,"yes"
"L","control","M",6,0.844,-2.319,"1.95",1.194,"yes"
"M","disturbed","M",4,-0.565,-1.135,"2.16",1.41,"no"
"M","disturbed","F",4,-0.099,0.177,"18.350000000000001",0.935,"no"
"N","disturbed","F",5,2.78,-0.893,"1.38",1.014,"yes"
"N","disturbed","F",5,1.11,-1.568,"5.73",0.929,"yes"
"N","disturbed","F",5,0.154,-2.451,"7.52",1.017,"yes"
"N","disturbed","M",5,2.14,-0.51,"2.2599999999999998",1.086,"yes"
"O","control","F",4,1.379,0.977,"1.47",1.179,"yes"
"P","disturbed","M",3,1.034,0.659,"4.22",1.012,"yes"
"P","disturbed","F",3,2.3,0.918,"3.12",1.078,"yes"
